iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge
45,1.643,5898240,118781,92,17.58,0.065,6.99,1.0,0.0,4.365,-0.0021,0.152,0.0047,0.045,0.925,0.07,0.657,0.985,0.0,0.638,0.7,0.005,0.995,0.467
46,1.662,6029312,116611,92,19.37,0.065,7.09,0.889,0.056,4.319,-0.0024,0.1814,0.0049,0.04,,,,,,,,,,
47,1.681,6160384,117525,117,19.01,0.06,7.31,0.893,0.107,4.295,-0.0022,0.2285,0.0047,0.044,,,,,,,,,,
48,1.706,6291456,87356,94,15.83,0.074,6.95,0.958,0.042,4.249,-0.0025,0.2137,0.0044,0.041,,,,,,,,,,
49,1.725,6422528,111935,105,15.52,0.038,7.04,0.923,0.077,4.186,-0.003,0.2341,0.0053,0.054,,,,,,,,,,
50,1.745,6553600,109242,96,14.67,0.042,7.4,0.957,0.043,4.155,-0.0029,0.2743,0.0052,0.047,,,,,,,,,,
51,1.77,6684672,88634,100,12.08,0.02,7.11,1.0,0.0,4.119,-0.0026,0.2789,0.0054,0.052,,,,,,,,,,
52,1.803,6815744,65910,84,12.4,0.036,7.43,0.944,0.056,4.103,-0.0026,0.2398,0.0048,0.047,,,,,,,,,,
53,1.836,6946816,65821,102,12.4,0.02,7.32,0.963,0.037,4.095,-0.0022,0.2314,0.0047,0.047,,,,,,,,,,
54,1.87,7077888,65490,67,12.39,0.015,7.3,0.947,0.053,4.084,-0.0019,0.1745,0.0046,0.04,,,,,,,,,,
55,1.9,7208960,71255,72,12.41,0.0,7.03,0.789,0.211,4.049,-0.0024,0.1744,0.0045,0.042,,,,,,,,,,
56,1.92,7340032,111740,76,12.47,0.0,7.05,0.941,0.059,4.035,-0.0021,0.201,0.0048,0.044,,,,,,,,,,
57,1.939,7471104,117007,77,13.12,0.013,7.22,0.92,0.08,4.017,-0.0024,0.173,0.0043,0.041,,,,,,,,,,
58,1.959,7602176,105537,82,12.67,0.012,7.2,1.0,0.0,3.983,-0.0021,0.1578,0.0044,0.043,,,,,,,,,,
59,1.978,7733248,116464,53,13.69,0.0,7.57,0.667,0.333,3.99,-0.0017,0.1538,0.0043,0.037,,,,,,,,,,
60,2.055,7864320,115865,76,13.28,0.0,7.41,0.846,0.154,3.975,-0.0018,0.1671,0.0041,0.036,0.745,0.24,0.575,1.0,0.0,0.769,0.618,0.03,0.97,0.414
61,2.074,7995392,118461,77,15.62,0.0,7.53,1.0,0.0,3.966,-0.0017,0.1799,0.0045,0.041,,,,,,,,,,
62,2.094,8126464,106126,64,14.66,0.0,7.19,0.889,0.111,3.957,-0.0018,0.1585,0.0048,0.041,,,,,,,,,,
63,2.119,8257536,86216,86,14.08,0.0,7.09,0.939,0.061,3.925,-0.0019,0.172,0.005,0.038,,,,,,,,,,
64,2.153,8388608,65959,67,16.53,0.0,7.64,0.833,0.167,3.926,-0.0016,0.1784,0.0038,0.033,,,,,,,,,,
65,2.186,8519680,66130,77,14.06,0.0,7.53,0.944,0.056,3.908,-0.0013,0.1964,0.0045,0.037,,,,,,,,,,
66,2.206,8650752,107003,76,14.65,0.0,7.5,0.947,0.053,3.924,-0.0018,0.1913,0.0043,0.041,,,,,,,,,,
67,2.226,8781824,109906,86,15.63,0.0,7.29,0.885,0.115,3.912,-0.0016,0.186,0.0044,0.042,,,,,,,,,,
68,2.246,8912896,106653,63,14.13,0.0,7.52,0.8,0.2,3.929,-0.0016,0.1756,0.0044,0.041,,,,,,,,,,
69,2.267,9043968,106550,67,14.27,0.0,7.31,0.905,0.095,3.911,-0.0015,0.1736,0.0046,0.04,,,,,,,,,,
70,2.298,9175040,71300,70,14.84,0.0,7.59,0.909,0.091,3.891,-0.0014,0.172,0.0043,0.035,,,,,,,,,,
71,2.318,9306112,108377,66,13.8,0.015,7.26,0.9,0.1,3.898,-0.0016,0.1768,0.0043,0.045,,,,,,,,,,
72,2.338,9437184,110538,66,15.92,0.015,7.39,0.944,0.056,3.896,-0.0022,0.1554,0.0042,0.045,,,,,,,,,,
73,2.357,9568256,114439,74,15.43,0.0,7.68,0.95,0.05,3.903,-0.0016,0.1644,0.005,0.045,,,,,,,,,,
74,2.376,9699328,112985,46,17.34,0.022,7.87,0.857,0.143,3.913,-0.0015,0.1332,0.0041,0.039,,,,,,,,,,
75,2.471,9830400,108651,51,16.81,0.0,7.75,0.923,0.077,3.909,-0.0016,0.1399,0.0046,0.041,0.965,0.035,0.753,1.0,0.0,0.76,0.705,0.02,0.98,0.419
76,2.499,9961472,78930,65,15.86,0.0,7.55,0.955,0.045,3.935,-0.0017,0.1514,0.0051,0.055,,,,,,,,,,
77,2.519,10092544,109140,58,18.98,0.017,7.72,0.625,0.375,3.963,-0.0019,0.1343,0.0048,0.046,,,,,,,,,,
78,2.538,10223616,113109,46,17.48,0.022,7.24,0.929,0.071,3.969,-0.0018,0.1097,0.0045,0.046,,,,,,,,,,
79,2.558,10354688,108171,42,19.18,0.048,7.33,0.857,0.143,3.987,-0.0015,0.1027,0.0045,0.038,,,,,,,,,,
80,2.579,10485760,105781,36,17.83,0.028,7.53,0.812,0.188,3.994,-0.0018,0.0907,0.0051,0.046,,,,,,,,,,
81,2.599,10616832,108534,50,18.23,0.04,7.26,0.769,0.231,4.012,-0.0013,0.106,0.0053,0.046,,,,,,,,,,
82,2.619,10747904,108104,53,20.74,0.038,7.6,0.6,0.4,4.033,-0.0014,0.1235,0.0052,0.055,,,,,,,,,,
83,2.639,10878976,109863,36,20.49,0.028,7.47,1.0,0.0,4.04,-0.0019,0.0932,0.005,0.05,,,,,,,,,,
84,2.666,11010048,80932,31,21.57,0.065,7.26,0.667,0.167,4.051,-0.0018,0.078,0.0051,0.047,,,,,,,,,,
85,2.685,11141120,116337,46,20.74,0.022,7.17,0.9,0.1,4.031,-0.0016,0.1073,0.0047,0.051,,,,,,,,,,
86,2.704,11272192,116481,33,21.76,0.0,7.48,0.857,0.143,4.051,-0.0017,0.0838,0.0046,0.041,,,,,,,,,,
87,2.725,11403264,104262,38,23.64,0.158,6.84,1.0,0.0,4.056,-0.0017,0.0803,0.0049,0.045,,,,,,,,,,
88,2.758,11534336,66482,51,21.57,0.078,7.04,0.778,0.167,4.061,-0.0018,0.0894,0.005,0.051,,,,,,,,,,
89,2.79,11665408,66619,35,24.01,0.086,6.89,0.75,0.25,4.071,-0.0019,0.0702,0.0044,0.044,,,,,,,,,,
90,3.053,11796480,66814,33,26.07,0.152,6.97,0.9,0.1,4.086,-0.0013,0.0647,0.0053,0.046,0.925,0.07,0.632,0.995,0.0,0.837,0.673,0.015,0.985,0.483
91,3.082,11927552,75882,49,26.8,0.143,6.9,1.0,0.0,4.079,-0.0014,0.0748,0.0044,0.046,,,,,,,,,,
92,3.103,12058624,103299,40,27.57,0.125,7.0,1.0,0.0,4.064,-0.0016,0.0753,0.0054,0.054,,,,,,,,,,
93,3.136,12189696,65210,31,30.65,0.226,6.29,0.8,0.0,4.057,-0.0015,0.0579,0.0044,0.039,,,,,,,,,,
94,3.157,12320768,105139,33,26.93,0.242,6.79,0.769,0.154,4.049,-0.0015,0.0602,0.0047,0.041,,,,,,,,,,
95,3.188,12451840,69430,44,30.51,0.341,6.57,0.8,0.0,4.036,-0.0015,0.0694,0.0049,0.045,,,,,,,,,,
96,3.207,12582912,115754,47,25.3,0.149,6.64,1.0,0.0,4.026,-0.0016,0.0748,0.0048,0.039,,,,,,,,,,
97,3.226,12713984,119225,57,26.57,0.193,6.63,0.842,0.0,4.002,-0.0019,0.0885,0.0054,0.046,,,,,,,,,,
98,3.244,12845056,119206,62,27.48,0.097,6.97,1.0,0.0,4.002,-0.0022,0.1155,0.0051,0.048,,,,,,,,,,
99,3.263,12976128,117536,57,20.59,0.105,6.77,0.917,0.0,3.998,-0.0016,0.0928,0.0045,0.043,,,,,,,,,,
100,3.281,13107200,119016,51,26.43,0.137,6.67,0.818,0.0,3.981,-0.0015,0.108,0.0051,0.043,,,,,,,,,,
101,3.3,13238272,112708,48,23.11,0.146,6.9,0.667,0.222,3.991,-0.0016,0.1044,0.0045,0.037,,,,,,,,,,
102,3.32,13369344,111157,47,21.49,0.085,7.19,0.455,0.545,3.997,-0.0015,0.1029,0.0049,0.045,,,,,,,,,,
103,3.339,13500416,115136,55,22.02,0.109,6.76,0.8,0.2,3.993,-0.0016,0.1101,0.0043,0.038,,,,,,,,,,
104,3.363,13631488,92818,43,22.3,0.07,7.05,0.5,0.3,3.999,-0.0016,0.1079,0.0051,0.048,,,,,,,,,,
105,3.523,13762560,67205,47,25.38,0.106,7.36,1.0,0.0,3.986,-0.0015,0.1091,0.0047,0.039,0.855,0.11,0.634,1.0,0.0,0.733,0.63,0.01,0.99,0.512
106,3.543,13893632,111710,50,22.97,0.12,6.86,0.769,0.231,3.968,-0.0018,0.1049,0.0046,0.039,,,,,,,,,,
107,3.562,14024704,114971,45,23.09,0.133,7.24,0.714,0.286,3.941,-0.0015,0.116,0.0046,0.041,,,,,,,,,,
108,3.588,14155776,84195,50,23.83,0.1,7.54,0.75,0.25,3.926,-0.0013,0.1262,0.0039,0.032,,,,,,,,,,
109,3.609,14286848,101641,44,23.95,0.114,7.11,0.375,0.625,3.912,-0.002,0.1124,0.0043,0.036,,,,,,,,,,
110,3.637,14417920,79359,61,19.54,0.066,7.38,0.467,0.533,3.915,-0.0016,0.1432,0.0041,0.038,,,,,,,,,,
111,3.656,14548992,114843,72,19.64,0.056,7.4,0.833,0.167,3.904,-0.0016,0.1465,0.005,0.04,,,,,,,,,,
112,3.675,14680064,117918,66,22.06,0.091,7.48,0.917,0.083,3.935,-0.0015,0.1325,0.005,0.045,,,,,,,,,,
113,3.693,14811136,118482,44,20.64,0.045,7.32,0.625,0.375,3.951,-0.002,0.1039,0.0052,0.049,,,,,,,,,,
114,3.713,14942208,109433,42,20.14,0.048,7.6,0.429,0.571,3.977,-0.0015,0.1103,0.0051,0.046,,,,,,,,,,
115,3.737,15073280,92991,45,20.27,0.044,7.2,0.818,0.091,3.96,-0.0022,0.1095,0.0049,0.048,,,,,,,,,,
116,3.756,15204352,110087,56,20.05,0.107,7.5,0.941,0.0,3.947,-0.0019,0.1125,0.006,0.059,,,,,,,,,,
117,3.776,15335424,112661,61,21.91,0.098,7.43,0.583,0.25,3.938,-0.0015,0.1232,0.0047,0.045,,,,,,,,,,
118,3.803,15466496,81299,47,22.83,0.043,7.6,0.0,0.0,3.944,-0.0013,0.1154,0.005,0.048,,,,,,,,,,
119,3.822,15597568,114381,54,19.11,0.056,7.07,0.875,0.083,3.977,-0.0019,0.1055,0.0048,0.046,,,,,,,,,,
120,4.061,15728640,117110,49,22.22,0.143,7.04,0.583,0.333,3.981,-0.0018,0.0967,0.0048,0.044,0.865,0.095,0.629,0.875,0.01,0.596,0.622,0.015,0.985,0.549
121,4.084,15859712,97974,43,20.39,0.14,6.81,0.556,0.333,3.98,-0.0018,0.0835,0.0053,0.056,,,,,,,,,,
122,4.102,15990784,118701,47,19.96,0.064,7.45,0.643,0.214,3.976,-0.0016,0.0869,0.0053,0.055,,,,,,,,,,
123,4.121,16121856,118226,40,20.95,0.05,7.25,0.733,0.2,3.942,-0.0018,0.0933,0.0048,0.038,,,,,,,,,,
124,4.14,16252928,115773,55,20.49,0.091,7.09,0.895,0.053,3.94,-0.0016,0.1099,0.0053,0.045,,,,,,,,,,
125,4.158,16384000,117251,66,19.49,0.091,6.98,0.913,0.087,3.933,-0.0017,0.1097,0.0047,0.043,,,,,,,,,,
126,4.18,16515072,102219,54,21.03,0.074,7.19,0.909,0.091,3.925,-0.0016,0.1118,0.0049,0.047,,,,,,,,,,
127,4.2,16646144,108015,51,18.94,0.039,7.16,0.867,0.133,3.919,-0.002,0.1118,0.0047,0.053,,,,,,,,,,
128,4.221,16777216,105983,46,21.72,0.043,7.26,1.0,0.0,3.938,-0.0018,0.1246,0.0052,0.051,,,,,,,,,,
129,4.24,16908288,112250,65,18.21,0.062,6.83,0.92,0.04,3.941,-0.0017,0.1267,0.0046,0.045,,,,,,,,,,
130,4.261,17039360,102227,52,22.22,0.096,7.52,1.0,0.0,3.942,-0.0014,0.1242,0.0047,0.044,,,,,,,,,,
131,4.286,17170432,90575,45,19.6,0.089,7.56,0.857,0.143,3.924,-0.0021,0.1153,0.0044,0.041,,,,,,,,,,
132,4.304,17301504,115628,73,21.07,0.11,7.3,0.583,0.417,3.908,-0.0018,0.142,0.0052,0.054,,,,,,,,,,
