iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge
185,5.957,24248320,114833,84,12.6,0.012,7.81,0.909,0.091,3.579,-0.0018,0.1985,0.0046,0.042,,,,,,,,,,
186,5.975,24379392,118129,92,11.71,0.0,7.51,0.974,0.026,3.592,-0.0019,0.2184,0.0044,0.038,,,,,,,,,,
187,5.994,24510464,116339,100,11.52,0.0,7.37,0.92,0.08,3.589,-0.0018,0.2309,0.0047,0.041,,,,,,,,,,
188,6.013,24641536,116804,82,12.07,0.0,7.76,0.952,0.048,3.582,-0.0022,0.1958,0.0047,0.04,,,,,,,,,,
189,6.031,24772608,116886,78,12.44,0.0,7.69,1.0,0.0,3.573,-0.0023,0.2037,0.0053,0.05,,,,,,,,,,
190,6.05,24903680,115919,88,12.68,0.0,7.73,0.944,0.056,3.565,-0.0018,0.2267,0.0041,0.038,,,,,,,,,,
191,6.069,25034752,113947,94,11.77,0.0,7.41,0.971,0.029,3.599,-0.0022,0.1757,0.0046,0.043,,,,,,,,,,
192,6.088,25165824,116305,78,14.11,0.0,7.85,1.0,0.0,3.588,-0.0023,0.1839,0.0048,0.046,,,,,,,,,,
193,6.107,25296896,119034,67,12.99,0.0,7.91,0.75,0.25,3.582,-0.0021,0.182,0.0044,0.046,,,,,,,,,,
194,6.125,25427968,118814,81,13.14,0.012,7.81,0.957,0.043,3.557,-0.0019,0.2029,0.0046,0.042,,,,,,,,,,
195,6.335,25559040,115053,90,13.55,0.0,7.74,1.0,0.0,3.568,-0.0019,0.2104,0.0051,0.047,0.93,0.035,0.579,1.0,0.0,0.707,0.642,0.15,0.85,0.629
196,6.354,25690112,117413,100,12.31,0.01,7.5,0.953,0.047,3.61,-0.0019,0.1861,0.0047,0.045,,,,,,,,,,
197,6.373,25821184,115062,91,12.17,0.0,7.49,0.96,0.04,3.625,-0.0016,0.1946,0.0043,0.039,,,,,,,,,,
198,6.394,25952256,103877,78,13.42,0.0,7.55,0.875,0.125,3.634,-0.002,0.178,0.005,0.044,,,,,,,,,,
199,6.428,26083328,65209,85,12.55,0.0,7.76,0.889,0.111,3.654,-0.0021,0.1883,0.0047,0.047,,,,,,,,,,
200,6.448,26214400,106428,64,12.19,0.0,7.2,1.0,0.0,3.664,-0.0014,0.1427,0.0039,0.034,,,,,,,,,,
201,6.481,26345472,66029,78,14.1,0.0,7.46,0.952,0.048,3.631,-0.0025,0.164,0.0047,0.045,,,,,,,,,,
202,6.511,26476544,73541,86,13.41,0.0,7.62,0.846,0.154,3.637,-0.0018,0.1785,0.0048,0.046,,,,,,,,,,
203,6.53,26607616,113409,63,13.95,0.0,7.81,0.917,0.083,3.669,-0.0018,0.1504,0.0046,0.037,,,,,,,,,,
204,6.55,26738688,112271,58,15.51,0.0,7.86,1.0,0.0,3.645,-0.0017,0.1492,0.0037,0.032,,,,,,,,,,
205,6.569,26869760,112866,83,12.92,0.0,7.34,0.9,0.1,3.6,-0.0021,0.1619,0.0043,0.043,,,,,,,,,,
206,6.602,27000832,66173,79,15.57,0.0,7.58,1.0,0.0,3.619,-0.0019,0.1844,0.0046,0.042,,,,,,,,,,
207,6.636,27131904,64222,73,14.9,0.0,7.14,0.95,0.05,3.626,-0.0018,0.1581,0.0043,0.041,,,,,,,,,,
208,6.669,27262976,67120,71,15.03,0.0,7.31,0.933,0.067,3.664,-0.0024,0.1368,0.0047,0.05,,,,,,,,,,
209,6.702,27394048,65705,52,14.62,0.0,7.54,0.909,0.091,3.679,-0.0015,0.1209,0.0049,0.047,,,,,,,,,,
210,6.961,27525120,114022,65,16.33,0.015,7.22,0.944,0.056,3.637,-0.0019,0.1399,0.0044,0.041,0.975,0.0,0.628,1.0,0.0,0.92,0.671,0.185,0.815,0.728
211,6.985,27656192,91775,55,15.56,0.0,7.15,1.0,0.0,3.645,-0.0017,0.1151,0.0047,0.045,,,,,,,,,,
212,7.006,27787264,100772,64,16.72,0.016,7.25,0.833,0.167,3.643,-0.002,0.1195,0.0049,0.052,,,,,,,,,,
213,7.025,27918336,115313,72,17.07,0.0,7.42,0.8,0.2,3.628,-0.0017,0.1556,0.0042,0.042,,,,,,,,,,
214,7.045,28049408,112778,65,14.34,0.0,7.35,0.96,0.04,3.634,-0.0021,0.1488,0.0043,0.044,,,,,,,,,,
215,7.064,28180480,113845,85,15.47,0.0,7.25,0.931,0.069,3.645,-0.0022,0.17,0.0051,0.05,,,,,,,,,,
216,7.087,28311552,96453,64,16.44,0.0,7.36,1.0,0.0,3.649,-0.0023,0.1485,0.005,0.046,,,,,,,,,,
217,7.112,28442624,84950,75,15.3,0.0,7.32,0.962,0.038,3.67,-0.002,0.1509,0.0046,0.044,,,,,,,,,,
218,7.146,28573696,65007,64,16.26,0.0,6.92,1.0,0.0,3.634,-0.0026,0.1331,0.0047,0.04,,,,,,,,,,
219,7.178,28704768,68257,80,13.69,0.0,6.78,0.968,0.032,3.609,-0.002,0.1437,0.0051,0.049,,,,,,,,,,
220,7.198,28835840,110243,72,14.36,0.0,6.94,0.952,0.048,3.636,-0.002,0.1504,0.0048,0.049,,,,,,,,,,
221,7.217,28966912,111310,70,15.13,0.014,7.07,0.947,0.053,3.633,-0.0016,0.1515,0.0047,0.047,,,,,,,,,,
222,7.237,29097984,109986,71,14.98,0.0,7.44,0.905,0.095,3.655,-0.0019,0.1572,0.0048,0.047,,,,,,,,,,
223,7.258,29229056,105630,91,14.97,0.0,7.22,1.0,0.0,3.612,-0.0019,0.1871,0.0047,0.04,,,,,,,,,,
224,7.278,29360128,110265,85,14.75,0.0,7.26,0.966,0.034,3.618,-0.0016,0.1938,0.0039,0.038,,,,,,,,,,
225,7.515,29491200,104732,93,13.91,0.0,6.98,0.889,0.111,3.605,-0.0019,0.2018,0.0048,0.043,0.99,0.0,0.768,0.895,0.0,0.919,0.727,0.01,0.99,0.716
226,7.54,29622272,86503,63,14.4,0.0,7.38,1.0,0.0,3.624,-0.0018,0.1789,0.0051,0.043,,,,,,,,,,
227,7.559,29753344,115537,99,12.98,0.01,6.85,1.0,0.0,3.62,-0.0018,0.1963,0.0044,0.041,,,,,,,,,,
228,7.582,29884416,96880,85,13.77,0.0,7.25,1.0,0.0,3.636,-0.0019,0.1968,0.0042,0.039,,,,,,,,,,
229,7.6,30015488,119769,79,13.97,0.0,7.09,0.909,0.091,3.691,-0.002,0.1693,0.0045,0.041,,,,,,,,,,
230,7.618,30146560,118366,76,14.96,0.013,6.96,1.0,0.0,3.654,-0.002,0.1767,0.0046,0.042,,,,,,,,,,
231,7.638,30277632,110974,96,13.39,0.021,6.9,0.9,0.1,3.657,-0.0017,0.175,0.0043,0.043,,,,,,,,,,
232,7.657,30408704,117679,82,14.17,0.0,7.24,0.9,0.1,3.672,-0.0017,0.1729,0.0046,0.043,,,,,,,,,,
233,7.677,30539776,108449,83,12.28,0.0,6.95,0.923,0.077,3.649,-0.0017,0.176,0.0045,0.038,,,,,,,,,,
234,7.709,30670848,67314,93,12.43,0.0,7.13,0.909,0.091,3.627,-0.0018,0.1812,0.0046,0.034,,,,,,,,,,
235,7.742,30801920,67609,84,13.34,0.0,7.21,1.0,0.0,3.618,-0.0023,0.183,0.0043,0.041,,,,,,,,,,
236,7.766,30932992,88394,104,12.22,0.0,7.08,1.0,0.0,3.619,-0.0018,0.1953,0.0045,0.039,,,,,,,,,,
237,7.785,31064064,116510,126,10.41,0.0,6.56,0.984,0.016,3.621,-0.0019,0.1663,0.0042,0.035,,,,,,,,,,
238,7.803,31195136,119575,99,10.8,0.0,6.77,1.0,0.0,3.625,-0.0022,0.1777,0.0047,0.043,,,,,,,,,,
239,7.822,31326208,120070,106,9.26,0.0,6.79,0.789,0.211,3.607,-0.0018,0.1699,0.0045,0.037,,,,,,,,,,
240,8.073,31457280,116216,102,9.47,0.0,7.04,0.905,0.095,3.616,-0.0018,0.1761,0.0045,0.039,0.945,0.02,0.66,0.86,0.0,0.862,0.658,0.015,0.985,0.751
241,8.092,31588352,119371,102,10.05,0.0,6.81,0.962,0.038,3.583,-0.002,0.1924,0.0046,0.038,,,,,,,,,,
242,8.11,31719424,118627,123,10.06,0.0,6.76,0.974,0.026,3.583,-0.0015,0.1809,0.0043,0.037,,,,,,,,,,
243,8.128,31850496,119947,100,9.42,0.0,6.82,0.962,0.038,3.611,-0.0021,0.1756,0.0046,0.041,,,,,,,,,,
244,8.147,31981568,118598,110,9.47,0.0,6.79,1.0,0.0,3.56,-0.0021,0.1849,0.0044,0.035,,,,,,,,,,
245,8.165,32112640,117863,113,9.79,0.009,6.77,0.958,0.042,3.505,-0.0018,0.1867,0.0036,0.032,,,,,,,,,,
246,8.185,32243712,112357,108,10.59,0.0,7.04,1.0,0.0,3.521,-0.0017,0.2124,0.0051,0.041,,,,,,,,,,
247,8.204,32374784,112981,127,9.48,0.0,6.72,0.976,0.024,3.531,-0.0015,0.1874,0.0043,0.039,,,,,,,,,,
248,8.223,32505856,113254,108,10.04,0.009,6.93,1.0,0.0,3.504,-0.0019,0.1836,0.0043,0.037,,,,,,,,,,
249,8.244,32636928,108156,147,9.62,0.014,6.91,0.977,0.023,3.479,-0.002,0.2128,0.0043,0.037,,,,,,,,,,
250,8.264,32768000,108127,125,9.3,0.0,7.06,1.0,0.0,3.484,-0.0018,0.2237,0.0041,0.029,,,,,,,,,,
251,8.286,32899072,98969,128,9.81,0.023,7.05,1.0,0.0,3.474,-0.0024,0.2259,0.0047,0.045,,,,,,,,,,
252,8.306,33030144,109286,133,8.44,0.008,7.22,0.974,0.026,3.455,-0.0019,0.253,0.0048,0.034,,,,,,,,,,
253,8.334,33161216,79280,124,7.9,0.0,7.21,1.0,0.0,3.479,-0.0019,0.2279,0.0039,0.039,,,,,,,,,,
254,8.352,33292288,119756,134,8.32,0.007,6.69,1.0,0.0,3.496,-0.0024,0.1974,0.0048,0.041,,,,,,,,,,
255,8.596,33423360,110408,130,9.06,0.0,6.96,0.97,0.03,3.507,-0.0015,0.2081,0.0044,0.035,0.965,0.015,0.653,0.87,0.01,0.772,0.673,0.005,0.995,0.627
256,8.623,33554432,80764,111,7.74,0.0,7.2,0.957,0.043,3.468,-0.0016,0.2182,0.0043,0.037,,,,,,,,,,
257,8.643,33685504,109207,152,9.35,0.007,7.11,1.0,0.0,3.457,-0.0017,0.2262,0.0045,0.033,,,,,,,,,,
258,8.664,33816576,106482,122,7.94,0.0,6.76,1.0,0.0,3.474,-0.002,0.1914,0.0043,0.038,,,,,,,,,,
259,8.684,33947648,109779,146,7.98,0.007,6.97,1.0,0.0,3.45,-0.0017,0.2365,0.0038,0.035,,,,,,,,,,
260,8.712,34078720,77519,134,8.88,0.007,7.01,0.97,0.03,3.418,-0.0014,0.2459,0.0041,0.035,,,,,,,,,,
261,8.738,34209792,85094,129,7.39,0.0,7.0,0.963,0.037,3.438,-0.0021,0.2077,0.0045,0.039,,,,,,,,,,
262,8.765,34340864,79039,90,7.78,0.011,7.33,0.885,0.077,3.453,-0.0018,0.1818,0.0039,0.035,,,,,,,,,,
263,8.784,34471936,112959,114,8.55,0.018,7.11,0.8,0.2,3.433,-0.0018,0.1918,0.0038,0.029,,,,,,,,,,
264,8.805,34603008,105430,84,10.34,0.012,7.38,1.0,0.0,3.433,-0.0017,0.1864,0.0042,0.035,,,,,,,,,,
265,8.824,34734080,116832,95,8.84,0.0,6.94,0.926,0.074,3.442,-0.0018,0.1502,0.0047,0.037,,,,,,,,,,
266,8.843,34865152,115395,126,9.48,0.0,6.93,1.0,0.0,3.451,-0.002,0.1774,0.0042,0.034,,,,,,,,,,
267,8.864,34996224,103152,84,9.58,0.0,7.19,1.0,0.0,3.451,-0.0018,0.1705,0.0047,0.043,,,,,,,,,,
268,8.897,35127296,67128,111,8.91,0.0,6.94,0.976,0.024,3.441,-0.002,0.1709,0.0043,0.039,,,,,,,,,,
269,8.917,35258368,108025,107,9.38,0.0,6.93,1.0,0.0,3.468,-0.0014,0.1698,0.0043,0.036,,,,,,,,,,
270,9.149,35389440,106727,83,9.81,0.012,7.04,1.0,0.0,3.484,-0.0018,0.1765,0.0039,0.038,0.97,0.02,0.626,0.765,0.0,0.817,0.672,0.005,0.995,0.696
271,9.174,35520512,85981,104,8.89,0.0,6.62,0.979,0.021,3.472,-0.0023,0.1518,0.0043,0.039,,,,,,,,,,
272,9.2,35651584,84113,97,10.21,0.0,7.01,1.0,0.0,3.502,-0.0017,0.1533,0.0042,0.038,,,,,,,,,,
273,9.22,35782656,110899,79,9.78,0.0,7.06,0.97,0.03,3.511,-0.0019,0.1491,0.0043,0.036,,,,,,,,,,
274,9.239,35913728,113125,80,12.73,0.013,7.42,1.0,0.0,3.505,-0.0019,0.164,0.0043,0.042,,,,,,,,,,
275,9.26,36044800,106754,106,11.96,0.009,7.16,0.972,0.028,3.468,-0.0017,0.2098,0.0044,0.035,,,,,,,,,,
276,9.28,36175872,110441,110,13.93,0.009,7.44,1.0,0.0,3.447,-0.0017,0.2385,0.0042,0.033,,,,,,,,,,
277,9.3,36306944,106842,138,10.64,0.014,7.2,0.98,0.02,3.452,-0.002,0.2519,0.0044,0.036,,,,,,,,,,
278,9.32,36438016,107930,121,11.41,0.025,7.16,1.0,0.0,3.449,-0.0018,0.229,0.0037,0.031,,,,,,,,,,
279,9.351,36569088,72186,127,9.02,0.008,7.27,1.0,0.0,3.437,-0.0018,0.2679,0.0042,0.036,,,,,,,,,,
280,9.371,36700160,110190,109,11.14,0.009,7.43,1.0,0.0,3.438,-0.0022,0.2493,0.0046,0.041,,,,,,,,,,
281,9.389,36831232,117865,117,12.39,0.026,7.16,1.0,0.0,3.444,-0.0019,0.2491,0.005,0.041,,,,,,,,,,
282,9.408,36962304,113811,121,10.24,0.017,7.35,1.0,0.0,3.471,-0.0026,0.2596,0.0046,0.043,,,,,,,,,,
283,9.427,37093376,113982,97,10.41,0.0,6.86,1.0,0.0,3.475,-0.0018,0.2177,0.005,0.045,,,,,,,,,,
284,9.448,37224448,107088,108,10.62,0.009,7.04,1.0,0.0,3.505,-0.0016,0.2065,0.0036,0.033,,,,,,,,,,
285,9.776,37355520,82668,78,12.45,0.013,7.38,0.909,0.091,3.524,-0.0023,0.1878,0.005,0.05,0.925,0.025,0.594,0.44,0.0,0.887,0.638,0.0,0.71,0.872
286,9.809,37486592,66749,73,11.27,0.0,7.16,0.939,0.061,3.542,-0.0018,0.1553,0.0047,0.042,,,,,,,,,,
287,9.83,37617664,105514,63,10.95,0.0,6.98,0.92,0.08,3.567,-0.002,0.1477,0.0047,0.038,,,,,,,,,,
288,9.857,37748736,79808,65,11.6,0.0,6.82,1.0,0.0,3.591,-0.0018,0.1251,0.0038,0.031,,,,,,,,,,
289,9.878,37879808,105434,50,14.05,0.02,7.02,1.0,0.0,3.608,-0.0019,0.1194,0.0049,0.05,,,,,,,,,,
290,9.897,38010880,113614,60,13.17,0.0,7.07,0.958,0.042,3.6,-0.0019,0.1314,0.0044,0.038,,,,,,,,,,
291,9.915,38141952,119171,80,13.3,0.0,6.75,1.0,0.0,3.557,-0.0018,0.1244,0.0047,0.045,,,,,,,,,,
292,9.935,38273024,112269,66,13.58,0.03,6.91,1.0,0.0,3.535,-0.0019,0.1333,0.0041,0.033,,,,,,,,,,
293,9.955,38404096,106821,71,14.61,0.014,6.68,1.0,0.0,3.568,-0.0015,0.1242,0.0049,0.049,,,,,,,,,,
294,9.974,38535168,119630,52,13.6,0.0,6.96,1.0,0.0,3.579,-0.002,0.1168,0.0048,0.042,,,,,,,,,,
295,9.993,38666240,114624,59,15.9,0.0,6.88,0.962,0.038,3.549,-0.0017,0.1089,0.0048,0.041,,,,,,,,,,
296,10.011,38797312,119549,59,14.83,0.0,6.53,1.0,0.0,3.584,-0.0023,0.0877,0.0053,0.05,,,,,,,,,,
297,10.03,38928384,115945,49,13.36,0.0,6.49,1.0,0.0,3.554,-0.0017,0.086,0.005,0.05,,,,,,,,,,
298,10.049,39059456,111800,57,16.39,0.0,6.7,1.0,0.0,3.498,-0.0021,0.1104,0.005,0.047,,,,,,,,,,
299,10.07,39190528,105113,54,14.94,0.019,6.31,1.0,0.0,3.461,-0.002,0.0936,0.005,0.039,,,,,,,,,,
300,10.378,39321600,68072,58,18.01,0.017,6.67,1.0,0.0,3.505,-0.002,0.0896,0.0045,0.037,0.965,0.01,0.591,0.48,0.0,0.894,0.641,0.025,0.04,0.932
301,10.398,39452672,108093,55,15.14,0.0,6.33,1.0,0.0,3.499,-0.0017,0.0829,0.0043,0.042,,,,,,,,,,
302,10.419,39583744,105500,63,14.96,0.032,6.32,1.0,0.0,3.474,-0.002,0.0847,0.0047,0.042,,,,,,,,,,
303,10.452,39714816,66037,59,15.8,0.051,6.29,1.0,0.0,3.472,-0.0018,0.0827,0.0046,0.038,,,,,,,,,,
304,10.478,39845888,83751,47,19.28,0.043,7.0,1.0,0.0,3.481,-0.0017,0.1016,0.0039,0.034,,,,,,,,,,
305,10.496,39976960,118910,54,19.33,0.13,6.41,1.0,0.0,3.484,-0.0017,0.0758,0.0046,0.037,,,,,,,,,,
306,10.514,40108032,120490,67,20.22,0.134,6.45,1.0,0.0,3.493,-0.0016,0.0808,0.0045,0.038,,,,,,,,,,
307,10.533,40239104,119842,57,17.3,0.088,6.49,1.0,0.0,3.502,-0.0018,0.0716,0.0047,0.04,,,,,,,,,,
308,10.552,40370176,114143,73,17.0,0.137,6.15,1.0,0.0,3.538,-0.0017,0.0745,0.0041,0.04,,,,,,,,,,
309,10.583,40501248,68986,63,16.99,0.127,5.97,1.0,0.0,3.532,-0.0014,0.074,0.0042,0.036,,,,,,,,,,
310,10.613,40632320,73659,59,15.32,0.119,5.85,1.0,0.0,3.533,-0.0013,0.0674,0.0046,0.042,,,,,,,,,,
311,10.631,40763392,120127,57,16.34,0.105,5.91,1.0,0.0,3.524,-0.0019,0.0628,0.0044,0.04,,,,,,,,,,
312,10.65,40894464,114204,62,20.4,0.194,6.05,1.0,0.0,3.506,-0.0012,0.0716,0.0046,0.041,,,,,,,,,,
313,10.67,41025536,110455,64,17.39,0.125,6.16,1.0,0.0,3.5,-0.0018,0.0813,0.0047,0.041,,,,,,,,,,
314,10.69,41156608,111697,52,24.82,0.192,6.79,1.0,0.0,3.519,-0.0019,0.0764,0.0042,0.037,,,,,,,,,,
315,10.969,41287680,104945,66,17.61,0.106,6.08,1.0,0.0,3.534,-0.0021,0.0693,0.0041,0.036,0.975,0.01,0.663,0.58,0.0,0.898,0.697,0.865,0.045,0.928
316,10.999,41418752,72450,61,22.28,0.213,6.39,0.875,0.125,3.539,-0.0019,0.0752,0.0052,0.049,,,,,,,,,,
317,11.024,41549824,87308,50,23.21,0.16,6.68,1.0,0.0,3.522,-0.0017,0.0676,0.0042,0.04,,,,,,,,,,
318,11.054,41680896,74090,55,18.31,0.055,7.2,1.0,0.0,3.485,-0.0019,0.0952,0.0051,0.046,,,,,,,,,,
319,11.072,41811968,119135,41,28.08,0.146,7.32,0.75,0.25,3.508,-0.0023,0.0727,0.0048,0.047,,,,,,,,,,
320,11.09,41943040,119565,52,17.59,0.077,6.73,0.962,0.038,3.522,-0.002,0.0869,0.0049,0.044,,,,,,,,,,
321,11.109,42074112,115603,67,21.57,0.134,7.13,0.96,0.04,3.509,-0.0018,0.0926,0.0046,0.043,,,,,,,,,,
322,11.129,42205184,108432,57,17.78,0.07,7.12,0.862,0.138,3.534,-0.0018,0.0802,0.0047,0.04,,,,,,,,,,
323,11.149,42336256,108707,45,18.69,0.067,6.71,0.773,0.227,3.537,-0.002,0.0815,0.0047,0.044,,,,,,,,,,
324,11.169,42467328,110197,43,22.54,0.163,6.7,1.0,0.0,3.53,-0.0019,0.0709,0.0039,0.04,,,,,,,,,,
325,11.197,42598400,78983,69,18.03,0.116,6.57,0.973,0.027,3.485,-0.0022,0.0948,0.0048,0.042,,,,,,,,,,
326,11.217,42729472,111558,80,18.48,0.15,6.39,0.977,0.023,3.485,-0.0015,0.0962,0.0043,0.037,,,,,,,,,,
327,11.235,42860544,117127,59,20.71,0.153,6.56,1.0,0.0,3.464,-0.002,0.0787,0.0048,0.043,,,,,,,,,,
328,11.254,42991616,114356,41,22.46,0.171,6.83,1.0,0.0,3.46,-0.0019,0.0703,0.0043,0.035,,,,,,,,,,
329,11.273,43122688,115882,66,15.06,0.076,6.44,0.974,0.026,3.449,-0.0018,0.0805,0.0045,0.037,,,,,,,,,,
330,11.591,43253760,102441,58,18.24,0.172,6.17,0.966,0.034,3.416,-0.0017,0.0846,0.0038,0.029,0.925,0.055,0.583,0.665,0.0,0.918,0.654,0.7,0.06,0.937
331,11.619,43384832,78341,69,15.91,0.072,6.46,1.0,0.0,3.333,-0.0021,0.1174,0.0047,0.04,,,,,,,,,,
332,11.645,43515904,83078,95,15.66,0.053,6.43,1.0,0.0,3.354,-0.002,0.119,0.0043,0.036,,,,,,,,,,
333,11.678,43646976,66469,71,14.5,0.014,6.41,1.0,0.0,3.385,-0.0021,0.0977,0.0045,0.041,,,,,,,,,,
334,11.709,43778048,70379,55,14.33,0.055,6.42,0.966,0.034,3.403,-0.0017,0.0783,0.0042,0.037,,,,,,,,,,
335,11.728,43909120,114304,66,17.36,0.121,6.55,0.871,0.129,3.368,-0.0017,0.1131,0.0044,0.039,,,,,,,,,,
336,11.748,44040192,112257,62,16.01,0.081,6.74,0.935,0.065,3.382,-0.0021,0.0968,0.0045,0.042,,,,,,,,,,
337,11.767,44171264,111412,66,20.6,0.152,6.86,0.964,0.036,3.379,-0.0022,0.1188,0.0045,0.042,,,,,,,,,,
338,11.788,44302336,108326,68,17.57,0.132,6.78,1.0,0.0,3.412,-0.0016,0.0988,0.0037,0.032,,,,,,,,,,
339,11.807,44433408,109757,61,19.85,0.098,7.28,0.947,0.053,3.417,-0.0016,0.102,0.0039,0.032,,,,,,,,,,
340,11.831,44564480,92245,64,20.45,0.109,7.14,1.0,0.0,3.431,-0.0019,0.1118,0.0045,0.048,,,,,,,,,,
341,11.851,44695552,109871,69,13.78,0.072,6.23,1.0,0.0,3.451,-0.0018,0.0892,0.0041,0.038,,,,,,,,,,
342,11.882,44826624,71650,59,17.11,0.119,6.05,1.0,0.0,3.469,-0.0018,0.0695,0.0045,0.04,,,,,,,,,,
343,11.9,44957696,115189,70,16.57,0.071,6.24,1.0,0.0,3.449,-0.0019,0.0882,0.0051,0.048,,,,,,,,,,
344,11.919,45088768,115703,62,12.4,0.048,6.26,0.974,0.026,3.443,-0.0021,0.0903,0.0046,0.045,,,,,,,,,,
345,12.219,45219840,104498,41,19.02,0.098,7.0,1.0,0.0,3.49,-0.0018,0.0672,0.0042,0.041,0.96,0.02,0.619,0.74,0.0,0.879,0.665,0.725,0.045,0.949
346,12.239,45350912,108898,58,18.6,0.103,6.53,0.955,0.045,3.424,-0.0021,0.0835,0.0044,0.042,,,,,,,,,,
347,12.266,45481984,82146,67,17.18,0.119,6.54,0.895,0.105,3.406,-0.0025,0.0838,0.0047,0.047,,,,,,,,,,
348,12.286,45613056,106150,69,18.51,0.13,6.57,0.862,0.138,3.407,-0.002,0.0976,0.0046,0.042,,,,,,,,,,
349,12.307,45744128,105215,34,21.28,0.147,6.97,1.0,0.0,3.442,-0.0021,0.0676,0.0051,0.047,,,,,,,,,,
350,12.339,45875200,69610,68,15.89,0.074,6.71,0.97,0.03,3.422,-0.0015,0.1047,0.0043,0.035,,,,,,,,,,
351,12.359,46006272,107452,74,18.18,0.081,6.55,1.0,0.0,3.434,-0.0021,0.0947,0.0045,0.04,,,,,,,,,,
352,12.379,46137344,112136,50,18.54,0.12,6.7,1.0,0.0,3.429,-0.0018,0.0808,0.0048,0.04,,,,,,,,,,
353,12.398,46268416,111265,42,24.34,0.19,6.81,1.0,0.0,3.46,-0.0018,0.066,0.0049,0.044,,,,,,,,,,
354,12.418,46399488,110286,64,18.58,0.078,6.67,0.969,0.031,3.475,-0.0021,0.0776,0.0046,0.044,,,,,,,,,,
355,12.437,46530560,113140,65,18.6,0.154,6.15,0.938,0.062,3.465,-0.0019,0.0809,0.0048,0.047,,,,,,,,,,
356,12.456,46661632,116711,63,15.97,0.127,5.98,1.0,0.0,3.449,-0.0018,0.0705,0.0041,0.042,,,,,,,,,,
357,12.483,46792704,80336,52,15.1,0.077,6.17,0.929,0.071,3.436,-0.0019,0.0734,0.0045,0.043,,,,,,,,,,
358,12.502,46923776,117366,36,24.77,0.222,6.44,1.0,0.0,3.399,-0.0021,0.0647,0.0049,0.043,,,,,,,,,,
359,12.523,47054848,103340,65,17.84,0.123,6.35,0.947,0.053,3.358,-0.0018,0.0922,0.0055,0.056,,,,,,,,,,
360,12.829,47185920,109299,81,18.11,0.173,6.01,1.0,0.0,3.363,-0.0021,0.0863,0.0049,0.046,0.985,0.01,0.641,0.62,0.0,0.908,0.709,0.515,0.05,0.942
361,12.848,47316992,118963,53,23.8,0.226,6.21,1.0,0.0,3.374,-0.0022,0.062,0.004,0.037,,,,,,,,,,
362,12.866,47448064,117936,51,18.59,0.059,6.92,1.0,0.0,3.347,-0.0022,0.0819,0.0047,0.041,,,,,,,,,,
363,12.892,47579136,84954,52,17.25,0.096,6.35,0.609,0.391,3.373,-0.0021,0.0765,0.0043,0.041,,,,,,,,,,
364,12.911,47710208,117473,57,18.33,0.175,6.72,0.941,0.059,3.398,-0.0019,0.0655,0.0045,0.046,,,,,,,,,,
365,12.929,47841280,118347,37,18.48,0.081,6.73,0.85,0.15,3.354,-0.002,0.071,0.0043,0.038,,,,,,,,,,
366,12.948,47972352,118179,78,19.03,0.167,6.4,0.744,0.256,3.351,-0.0019,0.094,0.0049,0.044,,,,,,,,,,
367,12.967,48103424,110520,47,19.89,0.128,6.6,0.895,0.105,3.363,-0.002,0.0634,0.0045,0.044,,,,,,,,,,
368,12.994,48234496,82839,53,20.94,0.226,6.26,1.0,0.0,3.365,-0.0021,0.07,0.0046,0.044,,,,,,,,,,
369,13.013,48365568,114229,44,28.04,0.295,6.82,1.0,0.0,3.373,-0.0022,0.0726,0.0047,0.043,,,,,,,,,,
370,13.04,48496640,80105,51,16.31,0.078,6.27,0.958,0.042,3.363,-0.002,0.0738,0.0046,0.043,,,,,,,,,,
371,13.061,48627712,105134,57,23.52,0.105,6.65,0.95,0.05,3.352,-0.0019,0.0823,0.0048,0.042,,,,,,,,,,
372,13.08,48758784,116283,90,21.58,0.156,6.66,0.711,0.289,3.343,-0.0021,0.1055,0.0044,0.049,,,,,,,,,,
373,13.098,48889856,120761,68,19.31,0.059,6.74,0.968,0.032,3.364,-0.002,0.0878,0.0046,0.041,,,,,,,,,,
374,13.116,49020928,121585,65,20.45,0.108,6.49,0.952,0.048,3.31,-0.0023,0.0951,0.0049,0.045,,,,,,,,,,
375,13.378,49152000,121081,76,18.49,0.092,6.71,0.919,0.081,3.332,-0.002,0.094,0.0044,0.04,0.985,0.0,0.661,0.76,0.0,0.918,0.697,0.265,0.02,0.953
376,13.397,49283072,111313,51,19.87,0.078,6.71,1.0,0.0,3.32,-0.002,0.0792,0.0046,0.04,,,,,,,,,,
377,13.419,49414144,101836,62,17.06,0.032,6.47,0.955,0.045,3.259,-0.0023,0.0872,0.0049,0.045,,,,,,,,,,
378,13.45,49545216,69276,82,17.06,0.061,6.4,0.903,0.097,3.279,-0.0026,0.0842,0.005,0.055,,,,,,,,,,
379,13.469,49676288,115922,76,19.56,0.039,6.37,0.882,0.118,3.283,-0.002,0.0862,0.0041,0.037,,,,,,,,,,
380,13.489,49807360,108630,100,17.76,0.04,6.65,0.714,0.286,3.269,-0.0022,0.1024,0.0046,0.043,,,,,,,,,,
