iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
183,11.851,23986176,45170,35,27.64,0.114,7.74,0.75,0.25,2.783,-0.0029,0.0824,0.0053,0.058,,,,,,,,,,,,,
184,11.897,24117248,47628,43,28.35,0.163,7.3,0.5,0.3,2.766,-0.0027,0.0913,0.0056,0.07,,,,,,,,,,,,,
185,11.939,24248320,51855,37,36.35,0.162,7.22,0.5,0.5,2.766,-0.0031,0.0701,0.0055,0.057,,,,,,,,,,,,,
186,11.987,24379392,45581,48,29.04,0.146,7.58,0.714,0.214,2.775,-0.0028,0.0775,0.0063,0.075,,,,,,,,,,,,,
187,12.027,24510464,54049,33,28.29,0.121,7.88,0.75,0.25,2.792,-0.0028,0.0739,0.0053,0.06,,,,,,,,,,,,,
188,12.075,24641536,45539,36,30.15,0.194,7.36,0.556,0.333,2.784,-0.0029,0.0643,0.0061,0.069,,,,,,,,,,,,,
189,12.123,24772608,46006,33,24.34,0.061,8.39,0.692,0.308,2.78,-0.0027,0.0796,0.0068,0.071,,,,,,,,,,,,,
190,12.176,24903680,41280,40,26.83,0.125,8.18,0.571,0.429,2.796,-0.003,0.0747,0.0059,0.063,,,,,,,,,,,,,
191,12.215,25034752,56151,33,23.45,0.03,8.3,0.714,0.286,2.805,-0.0032,0.0723,0.0061,0.071,,,,,,,,,,,,,
192,12.251,25165824,60672,44,30.67,0.182,7.55,0.545,0.364,2.803,-0.0029,0.0873,0.0061,0.064,,,,,,,,,,,,,
193,12.3,25296896,44337,31,31.96,0.161,7.71,0.167,0.667,2.82,-0.0032,0.0637,0.0067,0.078,,,,,,,,,,,,,
194,12.351,25427968,42826,39,33.54,0.128,7.85,0.7,0.3,2.82,-0.0026,0.0798,0.0064,0.073,,,,,,,,,,,,,
195,12.402,25559040,42939,40,27.78,0.1,8.03,0.8,0.2,2.847,-0.0026,0.077,0.0064,0.072,,,,,,,,,,,,,
196,12.452,25690112,43589,39,28.93,0.128,7.59,0.75,0.167,2.833,-0.0033,0.0916,0.0058,0.067,,,,,,,,,,,,,
197,12.505,25821184,41075,50,26.53,0.12,8.06,0.846,0.154,2.843,-0.0024,0.0864,0.0054,0.058,,,,,,,,,,,,,
198,12.554,25952256,44772,37,30.59,0.162,7.38,0.818,0.182,2.869,-0.0031,0.0594,0.0064,0.073,,,,,,,,,,,,,
199,12.604,26083328,43627,26,31.88,0.192,8.35,1.0,0.0,2.853,-0.003,0.0733,0.0064,0.068,,,,,,,,,,,,,
200,14.128,26214400,38966,36,30.89,0.139,7.78,0.667,0.333,2.86,-0.0028,0.062,0.006,0.062,0.915,0.04,0.763,,,,0.761,0.925,0.05,0.754,0.795,0.155,0.879
201,14.168,26345472,54928,28,32.99,0.286,6.46,0.571,0.286,2.862,-0.003,0.0448,0.0056,0.062,,,,,,,,,,,,,
202,14.206,26476544,57240,44,27.73,0.068,7.8,0.75,0.2,2.853,-0.003,0.0696,0.0062,0.067,,,,,,,,,,,,,
203,14.255,26607616,44960,23,31.44,0.174,7.52,0.75,0.25,2.853,-0.0032,0.049,0.0064,0.077,,,,,,,,,,,,,
204,14.306,26738688,42859,26,31.56,0.192,7.5,0.625,0.25,2.859,-0.0025,0.0528,0.0057,0.066,,,,,,,,,,,,,
205,14.354,26869760,45378,39,32.1,0.128,7.46,0.545,0.273,2.853,-0.0028,0.0768,0.005,0.056,,,,,,,,,,,,,
206,14.403,27000832,45121,52,30.02,0.058,8.08,0.846,0.154,2.863,-0.0026,0.0943,0.0055,0.06,,,,,,,,,,,,,
207,14.445,27131904,51154,27,31.04,0.074,8.07,0.8,0.2,2.867,-0.0027,0.0599,0.0064,0.071,,,,,,,,,,,,,
208,14.484,27262976,55969,38,26.02,0.053,7.74,0.6,0.2,2.858,-0.0029,0.0755,0.0062,0.069,,,,,,,,,,,,,
209,14.534,27394048,44204,41,37.07,0.293,6.44,0.4,0.5,2.875,-0.0024,0.0689,0.0055,0.065,,,,,,,,,,,,,
210,14.569,27525120,62739,34,30.39,0.118,7.91,0.6,0.2,2.868,-0.0026,0.0806,0.0056,0.06,,,,,,,,,,,,,
211,14.603,27656192,64025,37,30.45,0.108,8.03,0.8,0.0,2.86,-0.0027,0.077,0.0057,0.055,,,,,,,,,,,,,
212,14.64,27787264,59289,50,29.65,0.16,7.56,0.444,0.444,2.871,-0.003,0.0781,0.0061,0.062,,,,,,,,,,,,,
213,14.674,27918336,63968,19,34.98,0.211,7.42,0.857,0.143,2.871,-0.003,0.0419,0.0055,0.066,,,,,,,,,,,,,
214,14.707,28049408,65039,34,29.32,0.147,7.53,0.714,0.143,2.856,-0.0034,0.0486,0.0055,0.063,,,,,,,,,,,,,
215,14.741,28180480,65162,41,31.49,0.098,8.1,0.824,0.176,2.875,-0.0025,0.0774,0.005,0.053,,,,,,,,,,,,,
216,14.783,28311552,51923,33,28.73,0.061,7.94,0.75,0.25,2.871,-0.0025,0.0556,0.005,0.056,,,,,,,,,,,,,
217,14.819,28442624,59866,34,38.01,0.118,7.76,1.0,0.0,2.868,-0.0031,0.0709,0.0056,0.061,,,,,,,,,,,,,
218,14.858,28573696,55905,33,34.25,0.212,7.79,0.667,0.167,2.848,-0.0026,0.062,0.0058,0.061,,,,,,,,,,,,,
219,14.89,28704768,68779,42,28.29,0.048,7.6,0.786,0.214,2.848,-0.0029,0.0809,0.0056,0.059,,,,,,,,,,,,,
220,14.923,28835840,66998,34,29.51,0.059,7.62,0.8,0.2,2.876,-0.0026,0.075,0.0058,0.062,,,,,,,,,,,,,
221,14.955,28966912,69063,37,26.77,0.081,7.54,0.462,0.385,2.863,-0.0025,0.0672,0.0052,0.052,,,,,,,,,,,,,
222,14.986,29097984,68710,34,28.63,0.059,8.56,0.667,0.333,2.858,-0.0027,0.0594,0.006,0.063,,,,,,,,,,,,,
223,15.019,29229056,67031,32,31.46,0.188,8.12,0.625,0.25,2.841,-0.0028,0.0561,0.0053,0.061,,,,,,,,,,,,,
224,15.053,29360128,63730,31,31.24,0.097,7.61,0.8,0.1,2.849,-0.003,0.0588,0.0058,0.058,,,,,,,,,,,,,
225,15.094,29491200,53300,45,32.2,0.111,7.69,0.833,0.167,2.847,-0.0026,0.0702,0.0054,0.061,,,,,,,,,,,,,
226,15.128,29622272,64146,26,28.92,0.154,7.38,0.8,0.2,2.833,-0.0025,0.0637,0.0063,0.068,,,,,,,,,,,,,
227,15.161,29753344,66742,35,30.8,0.086,7.66,0.75,0.25,2.843,-0.0027,0.0682,0.006,0.066,,,,,,,,,,,,,
228,15.195,29884416,64574,38,31.99,0.079,7.58,0.222,0.778,2.838,-0.0027,0.08,0.0055,0.058,,,,,,,,,,,,,
229,15.229,30015488,63735,42,31.63,0.095,8.21,0.714,0.286,2.837,-0.003,0.0795,0.0057,0.062,,,,,,,,,,,,,
230,15.265,30146560,61026,41,34.02,0.146,7.49,0.5,0.25,2.839,-0.003,0.0661,0.0059,0.067,,,,,,,,,,,,,
231,15.302,30277632,59066,26,33.67,0.077,7.88,0.667,0.333,2.84,-0.0027,0.0557,0.0058,0.056,,,,,,,,,,,,,
232,15.336,30408704,63986,27,31.12,0.111,7.33,1.0,0.0,2.813,-0.0029,0.0581,0.0057,0.062,,,,,,,,,,,,,
233,15.371,30539776,63330,38,30.01,0.158,7.26,0.556,0.444,2.805,-0.0026,0.0685,0.0053,0.058,,,,,,,,,,,,,
234,15.407,30670848,59922,44,30.44,0.136,7.55,0.727,0.182,2.815,-0.0027,0.0766,0.0056,0.061,,,,,,,,,,,,,
235,15.443,30801920,61531,29,29.65,0.103,7.28,0.667,0.222,2.791,-0.0027,0.0586,0.0054,0.056,,,,,,,,,,,,,
236,15.477,30932992,63408,40,30.22,0.05,7.92,0.7,0.3,2.796,-0.0026,0.0693,0.0054,0.061,,,,,,,,,,,,,
237,15.513,31064064,60969,44,31.68,0.136,7.73,0.929,0.071,2.808,-0.0026,0.0828,0.0059,0.061,,,,,,,,,,,,,
238,15.548,31195136,61749,48,27.42,0.083,7.38,0.706,0.235,2.802,-0.0028,0.0651,0.0061,0.069,,,,,,,,,,,,,
239,15.587,31326208,55976,36,35.42,0.111,7.56,0.429,0.429,2.814,-0.0028,0.0646,0.0055,0.057,,,,,,,,,,,,,
240,15.625,31457280,58779,29,31.13,0.034,8.14,0.571,0.429,2.804,-0.0023,0.0649,0.0054,0.054,,,,,,,,,,,,,
241,15.661,31588352,59294,35,32.51,0.114,7.34,0.5,0.333,2.764,-0.003,0.0671,0.0057,0.066,,,,,,,,,,,,,
242,15.697,31719424,61694,39,33.15,0.103,7.44,0.667,0.222,2.772,-0.0022,0.0696,0.0066,0.069,,,,,,,,,,,,,
243,15.73,31850496,64869,42,28.02,0.095,7.83,0.636,0.273,2.768,-0.003,0.0776,0.0052,0.056,,,,,,,,,,,,,
244,15.763,31981568,66220,31,27.14,0.097,8.48,0.25,0.75,2.78,-0.0026,0.0654,0.0057,0.059,,,,,,,,,,,,,
245,15.796,32112640,66912,37,29.76,0.027,8.38,0.545,0.455,2.785,-0.0025,0.0642,0.005,0.049,,,,,,,,,,,,,
246,15.829,32243712,66029,27,24.77,0.037,7.85,0.5,0.5,2.791,-0.0029,0.052,0.0056,0.06,,,,,,,,,,,,,
247,15.863,32374784,65315,28,29.92,0.107,7.75,0.222,0.778,2.772,-0.003,0.0644,0.0052,0.048,,,,,,,,,,,,,
248,15.896,32505856,65782,35,30.18,0.057,7.89,0.667,0.333,2.767,-0.0027,0.0949,0.0057,0.06,,,,,,,,,,,,,
249,15.929,32636928,66387,44,25.48,0.091,8.05,0.412,0.353,2.768,-0.003,0.0888,0.0054,0.05,,,,,,,,,,,,,
250,17.116,32768000,66173,60,27.65,0.033,8.3,0.714,0.286,2.781,-0.0027,0.1072,0.0048,0.053,0.89,0.035,0.843,,,,0.798,0.93,0.05,0.692,0.8,0.14,0.87
251,17.16,32899072,49734,40,26.17,0.125,8.07,1.0,0.0,2.807,-0.0022,0.0854,0.0055,0.057,,,,,,,,,,,,,
252,17.194,33030144,65131,37,27.25,0.135,8.22,0.429,0.571,2.792,-0.0029,0.0735,0.0056,0.061,,,,,,,,,,,,,
253,17.227,33161216,66164,57,29.56,0.035,8.35,0.6,0.333,2.786,-0.003,0.1165,0.005,0.053,,,,,,,,,,,,,
254,17.261,33292288,64663,46,29.45,0.065,8.15,0.615,0.385,2.776,-0.0031,0.0829,0.0056,0.064,,,,,,,,,,,,,
255,17.294,33423360,65866,35,25.21,0.057,7.86,0.571,0.429,2.745,-0.0028,0.0608,0.0048,0.055,,,,,,,,,,,,,
256,17.326,33554432,68935,42,26.42,0.071,7.98,0.6,0.4,2.738,-0.0028,0.0708,0.0055,0.056,,,,,,,,,,,,,
257,17.358,33685504,68009,33,29.98,0.152,7.48,0.8,0.2,2.734,-0.0028,0.0726,0.0053,0.053,,,,,,,,,,,,,
258,17.391,33816576,65014,36,31.09,0.139,7.58,0.857,0.0,2.715,-0.0026,0.0829,0.005,0.055,,,,,,,,,,,,,
259,17.425,33947648,64321,36,26.22,0.083,8.03,0.9,0.1,2.727,-0.0028,0.0843,0.0055,0.057,,,,,,,,,,,,,
260,17.46,34078720,63337,33,28.82,0.091,7.85,0.333,0.667,2.74,-0.0028,0.0662,0.006,0.065,,,,,,,,,,,,,
261,17.491,34209792,69399,33,28.97,0.121,7.55,0.571,0.429,2.741,-0.0029,0.0601,0.0046,0.047,,,,,,,,,,,,,
262,17.525,34340864,65225,31,32.7,0.226,7.06,0.556,0.222,2.741,-0.0024,0.0635,0.0055,0.063,,,,,,,,,,,,,
263,17.559,34471936,64115,28,26.25,0.036,7.86,1.0,0.0,2.724,-0.0026,0.0662,0.0052,0.057,,,,,,,,,,,,,
264,17.591,34603008,68192,50,28.41,0.06,8.16,0.643,0.357,2.74,-0.0028,0.1068,0.0053,0.057,,,,,,,,,,,,,
265,17.624,34734080,66918,34,29.65,0.029,8.15,0.917,0.083,2.742,-0.0027,0.0619,0.0058,0.061,,,,,,,,,,,,,
266,17.657,34865152,64600,40,28.01,0.1,8.4,0.556,0.333,2.758,-0.0032,0.0889,0.006,0.062,,,,,,,,,,,,,
267,17.696,34996224,56669,31,29.46,0.065,8.03,0.4,0.6,2.752,-0.003,0.0645,0.0057,0.063,,,,,,,,,,,,,
268,17.735,35127296,55410,38,31.97,0.158,7.53,0.5,0.25,2.739,-0.0031,0.0703,0.0054,0.055,,,,,,,,,,,,,
269,17.767,35258368,68234,39,28.16,0.077,8.26,0.667,0.333,2.748,-0.0033,0.0835,0.0056,0.063,,,,,,,,,,,,,
270,17.8,35389440,67508,34,32.49,0.118,7.62,0.4,0.4,2.737,-0.0028,0.0666,0.0055,0.061,,,,,,,,,,,,,
271,17.832,35520512,67269,38,34.07,0.105,7.87,0.8,0.1,2.754,-0.0028,0.0593,0.0063,0.064,,,,,,,,,,,,,
272,17.87,35651584,58465,31,29.27,0.097,8.45,0.5,0.375,2.741,-0.0025,0.0779,0.0051,0.058,,,,,,,,,,,,,
273,17.902,35782656,66684,42,27.69,0.0,8.24,0.667,0.333,2.745,-0.0026,0.0806,0.0047,0.052,,,,,,,,,,,,,
274,17.935,35913728,66554,33,27.39,0.03,8.03,0.5,0.5,2.772,-0.0027,0.0634,0.005,0.054,,,,,,,,,,,,,
275,17.971,36044800,61503,36,30.65,0.056,8.28,0.875,0.125,2.792,-0.0031,0.0756,0.0057,0.063,,,,,,,,,,,,,
276,18.012,36175872,53270,34,30.58,0.029,8.29,0.6,0.4,2.778,-0.0028,0.0631,0.0051,0.056,,,,,,,,,,,,,
277,18.046,36306944,64232,33,34.41,0.152,7.97,0.2,0.4,2.781,-0.0027,0.0557,0.005,0.053,,,,,,,,,,,,,
278,18.078,36438016,67991,32,31.75,0.188,7.62,0.625,0.125,2.797,-0.0033,0.0517,0.0053,0.056,,,,,,,,,,,,,
279,18.111,36569088,66433,35,31.39,0.171,7.66,0.667,0.333,2.792,-0.0027,0.0637,0.0058,0.063,,,,,,,,,,,,,
280,18.142,36700160,69661,49,29.43,0.041,7.67,0.4,0.6,2.801,-0.0025,0.0825,0.0053,0.052,,,,,,,,,,,,,
281,18.175,36831232,65906,37,27.49,0.135,8.22,0.615,0.231,2.798,-0.0028,0.0791,0.0058,0.062,,,,,,,,,,,,,
282,18.209,36962304,64202,38,26.86,0.026,8.11,0.647,0.353,2.784,-0.003,0.0717,0.0058,0.062,,,,,,,,,,,,,
283,18.249,37093376,54881,31,30.65,0.032,8.13,1.0,0.0,2.758,-0.0027,0.0704,0.0054,0.056,,,,,,,,,,,,,
284,18.288,37224448,56586,45,26.95,0.133,7.93,0.25,0.25,2.78,-0.0025,0.0749,0.0056,0.06,,,,,,,,,,,,,
285,18.321,37355520,66419,50,25.6,0.08,7.72,0.1,0.7,2.776,-0.0031,0.0917,0.0046,0.05,,,,,,,,,,,,,
286,18.353,37486592,67892,37,27.79,0.135,7.95,0.833,0.167,2.788,-0.0029,0.092,0.0049,0.051,,,,,,,,,,,,,
287,18.386,37617664,65854,43,28.29,0.07,7.88,0.7,0.1,2.787,-0.0028,0.0832,0.0053,0.057,,,,,,,,,,,,,
288,18.42,37748736,63790,27,24.82,0.074,8.15,0.75,0.25,2.787,-0.0029,0.0587,0.0053,0.055,,,,,,,,,,,,,
289,18.453,37879808,66384,37,26.9,0.081,8.84,0.6,0.2,2.78,-0.0028,0.0782,0.0053,0.059,,,,,,,,,,,,,
290,18.487,38010880,64756,39,28.28,0.103,8.33,0.286,0.714,2.786,-0.0027,0.0769,0.0056,0.061,,,,,,,,,,,,,
291,18.522,38141952,63211,40,29.44,0.15,8.1,0.667,0.111,2.82,-0.0025,0.068,0.0053,0.055,,,,,,,,,,,,,
292,18.562,38273024,54095,34,29.25,0.118,7.53,0.5,0.25,2.824,-0.0027,0.0616,0.0053,0.058,,,,,,,,,,,,,
293,18.602,38404096,54409,31,29.36,0.161,7.58,0.727,0.182,2.835,-0.0033,0.0546,0.0056,0.066,,,,,,,,,,,,,
294,18.635,38535168,66616,29,31.33,0.138,7.66,1.0,0.0,2.814,-0.0031,0.0462,0.0055,0.054,,,,,,,,,,,,,
295,18.669,38666240,64084,39,28.47,0.154,7.77,0.636,0.273,2.805,-0.0028,0.0755,0.0056,0.056,,,,,,,,,,,,,
296,18.702,38797312,66810,40,31.81,0.15,7.25,0.385,0.462,2.803,-0.0028,0.0686,0.005,0.052,,,,,,,,,,,,,
297,18.735,38928384,65446,38,29.7,0.105,7.84,0.7,0.3,2.798,-0.0031,0.0693,0.0058,0.067,,,,,,,,,,,,,
298,18.769,39059456,65413,35,32.57,0.143,7.94,0.833,0.0,2.77,-0.0026,0.0723,0.0045,0.05,,,,,,,,,,,,,
299,18.802,39190528,64382,33,29.63,0.091,8.24,0.625,0.375,2.778,-0.0025,0.0636,0.0049,0.054,,,,,,,,,,,,,
300,20.053,39321600,50906,28,31.73,0.143,7.68,0.667,0.333,2.788,-0.0025,0.0514,0.0052,0.056,0.87,0.08,0.808,,,,0.736,0.955,0.035,0.703,0.845,0.105,0.895
301,20.085,39452672,68607,35,29.34,0.2,7.37,0.818,0.091,2.79,-0.0025,0.0576,0.0071,0.071,,,,,,,,,,,,,
302,20.119,39583744,65656,32,35.1,0.156,7.34,0.286,0.714,2.761,-0.0023,0.0649,0.0056,0.05,,,,,,,,,,,,,
303,20.156,39714816,58157,40,31.82,0.125,7.92,0.545,0.364,2.755,-0.0027,0.0742,0.0057,0.064,,,,,,,,,,,,,
304,20.194,39845888,57591,37,31.12,0.162,7.57,0.167,0.667,2.752,-0.0025,0.0661,0.0056,0.063,,,,,,,,,,,,,
305,20.235,39976960,53640,29,32.11,0.172,7.14,0.571,0.286,2.764,-0.0027,0.066,0.0059,0.063,,,,,,,,,,,,,
306,20.268,40108032,66688,33,31.19,0.121,8.36,0.333,0.333,2.717,-0.0027,0.0671,0.0055,0.056,,,,,,,,,,,,,
307,20.301,40239104,65397,35,27.79,0.086,7.94,0.875,0.125,2.71,-0.0025,0.0734,0.006,0.062,,,,,,,,,,,,,
308,20.334,40370176,66141,40,30.52,0.1,8.03,0.667,0.333,2.699,-0.0024,0.0894,0.0054,0.055,,,,,,,,,,,,,
309,20.368,40501248,64523,45,35.31,0.089,8.16,0.667,0.222,2.704,-0.0027,0.0824,0.0054,0.057,,,,,,,,,,,,,
310,20.401,40632320,66242,45,26.87,0.089,7.82,0.643,0.214,2.71,-0.0028,0.0795,0.0048,0.053,,,,,,,,,,,,,
311,20.434,40763392,66022,36,30.6,0.028,8.11,0.7,0.3,2.713,-0.0027,0.069,0.0052,0.055,,,,,,,,,,,,,
312,20.468,40894464,64746,32,27.84,0.062,8.0,0.636,0.273,2.703,-0.0026,0.0727,0.0059,0.065,,,,,,,,,,,,,
313,20.503,41025536,61194,39,30.43,0.026,7.72,0.8,0.2,2.706,-0.0028,0.0799,0.0045,0.047,,,,,,,,,,,,,
314,20.538,41156608,63556,33,27.89,0.061,7.61,0.625,0.25,2.711,-0.0027,0.0671,0.0054,0.063,,,,,,,,,,,,,
315,20.572,41287680,64138,31,33.49,0.194,7.42,0.167,0.5,2.701,-0.003,0.0539,0.0056,0.053,,,,,,,,,,,,,
316,20.603,41418752,69817,31,27.87,0.065,7.84,0.833,0.0,2.716,-0.0032,0.0563,0.0057,0.06,,,,,,,,,,,,,
317,20.636,41549824,67048,34,36.12,0.235,7.53,0.4,0.2,2.69,-0.0025,0.0534,0.005,0.05,,,,,,,,,,,,,
318,20.667,41680896,70350,27,31.04,0.111,7.67,0.75,0.25,2.697,-0.0029,0.0528,0.0047,0.051,,,,,,,,,,,,,
319,20.698,41811968,70079,29,32.31,0.172,7.48,0.222,0.556,2.699,-0.0028,0.054,0.0052,0.054,,,,,,,,,,,,,
320,20.729,41943040,70945,24,32.67,0.125,8.71,0.625,0.25,2.714,-0.0026,0.0446,0.0052,0.057,,,,,,,,,,,,,
321,20.762,42074112,66069,26,35.88,0.192,6.88,1.0,0.0,2.68,-0.0028,0.0564,0.0052,0.059,,,,,,,,,,,,,
322,20.795,42205184,65108,27,31.53,0.148,7.33,0.571,0.286,2.693,-0.0025,0.0431,0.0047,0.049,,,,,,,,,,,,,
323,20.83,42336256,63938,34,31.57,0.088,8.21,0.556,0.333,2.697,-0.0026,0.0546,0.005,0.054,,,,,,,,,,,,,
324,20.868,42467328,57158,35,35.19,0.114,8.0,0.571,0.143,2.702,-0.0028,0.0607,0.005,0.055,,,,,,,,,,,,,
325,20.904,42598400,60076,26,30.26,0.115,7.58,0.6,0.4,2.704,-0.0028,0.0516,0.0063,0.075,,,,,,,,,,,,,
326,20.939,42729472,63410,26,37.71,0.308,6.92,0.833,0.0,2.695,-0.0028,0.0374,0.0058,0.06,,,,,,,,,,,,,
327,20.972,42860544,66441,27,37.24,0.185,7.52,0.75,0.25,2.7,-0.0028,0.051,0.0047,0.05,,,,,,,,,,,,,
328,21.006,42991616,64074,21,33.33,0.19,7.19,0.375,0.625,2.697,-0.0026,0.0328,0.0052,0.059,,,,,,,,,,,,,
329,21.04,43122688,63298,29,39.37,0.138,7.28,0.571,0.143,2.681,-0.0028,0.0498,0.0051,0.06,,,,,,,,,,,,,
330,21.073,43253760,67626,28,40.3,0.25,6.93,0.167,0.667,2.675,-0.0037,0.0444,0.006,0.064,,,,,,,,,,,,,
331,21.107,43384832,64297,21,35.55,0.238,7.14,1.0,0.0,2.666,-0.0031,0.0416,0.0051,0.056,,,,,,,,,,,,,
332,21.141,43515904,62982,30,38.59,0.167,7.33,0.583,0.333,2.668,-0.0032,0.0445,0.0059,0.062,,,,,,,,,,,,,
333,21.177,43646976,60733,30,39.55,0.267,6.63,0.429,0.286,2.687,-0.0031,0.0476,0.0052,0.055,,,,,,,,,,,,,
334,21.211,43778048,63819,26,37.75,0.192,7.31,0.5,0.5,2.683,-0.0029,0.0434,0.0055,0.056,,,,,,,,,,,,,
335,21.245,43909120,66032,31,34.97,0.065,8.0,0.75,0.25,2.694,-0.0026,0.0585,0.0047,0.051,,,,,,,,,,,,,
336,21.278,44040192,64642,46,37.96,0.174,7.33,0.818,0.182,2.704,-0.0026,0.0519,0.005,0.051,,,,,,,,,,,,,
337,21.312,44171264,64678,30,35.58,0.233,7.37,0.2,0.6,2.696,-0.0028,0.0529,0.0053,0.055,,,,,,,,,,,,,
338,21.351,44302336,56199,28,36.81,0.25,6.89,0.625,0.25,2.682,-0.003,0.0467,0.0056,0.059,,,,,,,,,,,,,
339,21.393,44433408,52322,30,38.25,0.233,7.67,0.0,0.5,2.685,-0.0027,0.0515,0.0049,0.047,,,,,,,,,,,,,
340,21.428,44564480,62397,22,41.9,0.455,7.0,0.0,0.0,2.698,-0.0025,0.04,0.0059,0.063,,,,,,,,,,,,,
341,21.461,44695552,65301,29,44.33,0.448,6.31,0.667,0.0,2.681,-0.0033,0.0501,0.006,0.068,,,,,,,,,,,,,
342,21.494,44826624,67601,33,38.66,0.182,7.45,0.714,0.286,2.682,-0.0028,0.0638,0.0058,0.06,,,,,,,,,,,,,
343,21.525,44957696,69161,34,32.6,0.147,7.35,0.909,0.091,2.684,-0.0027,0.0456,0.0055,0.06,,,,,,,,,,,,,
344,21.556,45088768,70098,15,38.45,0.333,7.0,1.0,0.0,2.665,-0.0028,0.0279,0.0046,0.046,,,,,,,,,,,,,
345,21.588,45219840,68033,33,38.98,0.273,6.79,0.667,0.25,2.661,-0.0026,0.0378,0.0058,0.064,,,,,,,,,,,,,
346,21.62,45350912,68448,23,36.44,0.174,7.39,0.0,0.5,2.642,-0.003,0.0329,0.0052,0.055,,,,,,,,,,,,,
347,21.653,45481984,66732,27,37.23,0.222,7.74,0.75,0.25,2.639,-0.0025,0.0365,0.0059,0.069,,,,,,,,,,,,,
348,21.686,45613056,66228,27,37.83,0.259,6.81,0.667,0.111,2.627,-0.0029,0.0465,0.0057,0.061,,,,,,,,,,,,,
349,21.718,45744128,69399,22,38.93,0.227,7.18,0.667,0.0,2.617,-0.0028,0.045,0.0049,0.055,,,,,,,,,,,,,
350,23.029,45875200,68750,32,32.38,0.156,7.56,0.571,0.429,2.611,-0.0026,0.054,0.0049,0.049,0.87,0.03,0.862,,,,0.747,0.945,0.015,0.751,0.825,0.105,0.908
351,23.063,46006272,65080,49,36.62,0.286,6.76,0.643,0.286,2.611,-0.0024,0.0643,0.0052,0.051,,,,,,,,,,,,,
352,23.095,46137344,67556,45,39.31,0.311,6.49,0.636,0.273,2.639,-0.0026,0.0638,0.0058,0.067,,,,,,,,,,,,,
353,23.131,46268416,60388,21,38.39,0.238,7.0,0.5,0.5,2.639,-0.0024,0.051,0.0049,0.052,,,,,,,,,,,,,
354,23.168,46399488,59987,39,30.02,0.154,7.23,0.727,0.182,2.639,-0.0031,0.0626,0.0055,0.062,,,,,,,,,,,,,
355,23.208,46530560,55049,33,38.04,0.273,6.55,0.25,0.75,2.634,-0.0027,0.0595,0.0058,0.068,,,,,,,,,,,,,
356,23.24,46661632,66630,32,39.7,0.281,6.75,0.0,0.25,2.636,-0.0027,0.0591,0.0046,0.049,,,,,,,,,,,,,
357,23.275,46792704,62175,33,33.55,0.212,7.73,0.25,0.5,2.619,-0.0024,0.0581,0.0056,0.06,,,,,,,,,,,,,
358,23.31,46923776,63590,22,32.79,0.091,7.55,0.571,0.429,2.632,-0.0027,0.0426,0.0057,0.064,,,,,,,,,,,,,
359,23.342,47054848,68211,21,37.56,0.238,7.19,0.8,0.2,2.612,-0.0025,0.0453,0.0056,0.064,,,,,,,,,,,,,
360,23.376,47185920,63772,28,32.8,0.214,7.61,0.5,0.3,2.61,-0.003,0.0463,0.0058,0.068,,,,,,,,,,,,,
361,23.412,47316992,60931,34,35.42,0.235,7.38,0.417,0.417,2.597,-0.0027,0.0447,0.0058,0.062,,,,,,,,,,,,,
362,23.448,47448064,60413,29,35.78,0.207,7.21,0.75,0.25,2.607,-0.0022,0.0556,0.0057,0.062,,,,,,,,,,,,,
363,23.485,47579136,58856,24,40.64,0.25,7.17,1.0,0.0,2.6,-0.0027,0.0388,0.0044,0.046,,,,,,,,,,,,,
364,23.519,47710208,65360,28,39.56,0.321,6.75,0.429,0.429,2.593,-0.0028,0.0376,0.0056,0.062,,,,,,,,,,,,,
365,23.553,47841280,64323,30,39.84,0.333,6.97,0.625,0.0,2.591,-0.0027,0.0573,0.0064,0.072,,,,,,,,,,,,,
366,23.589,47972352,60736,29,38.18,0.207,7.14,0.714,0.143,2.605,-0.0026,0.0423,0.0052,0.051,,,,,,,,,,,,,
367,23.621,48103424,67750,25,34.04,0.16,7.04,0.5,0.5,2.595,-0.0032,0.0428,0.0051,0.055,,,,,,,,,,,,,
368,23.654,48234496,65356,27,41.24,0.296,6.07,0.667,0.333,2.581,-0.0029,0.0426,0.005,0.055,,,,,,,,,,,,,
369,23.688,48365568,64736,27,38.29,0.259,7.81,0.2,0.6,2.603,-0.0026,0.0523,0.0053,0.055,,,,,,,,,,,,,
370,23.727,48496640,56382,32,36.2,0.344,6.62,0.5,0.333,2.625,-0.0028,0.0482,0.005,0.059,,,,,,,,,,,,,
371,23.767,48627712,54683,23,37.67,0.217,7.52,0.75,0.0,2.61,-0.0026,0.0407,0.0047,0.049,,,,,,,,,,,,,
372,23.8,48758784,65069,32,34.21,0.125,7.44,0.5,0.4,2.603,-0.0024,0.0478,0.0049,0.051,,,,,,,,,,,,,
373,23.833,48889856,66361,19,41.35,0.316,7.0,0.167,0.5,2.619,-0.003,0.0285,0.005,0.056,,,,,,,,,,,,,
